
For Photo-ID:  65_01_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
3            5.04083   -0.335396         3          1.892          3.778              0      1         14
4            4.50632    -2.71789         4          2.834          3.778              0      1         14
5            4.06132    -4.64822         5          3.782          3.778              0      1         13
7            2.40568     2.69348         7          0.945          2.832              0      1         17
8            2.14568   -0.176667         8          1.892          2.832              0      1         18
9            1.92356    -2.50231         9          2.834          2.832              0      1         18
10            1.7394    -4.41402        10          3.782          2.832              0      1         18
12         -0.546626     2.70376        12          0.945          1.891              0      1         17
13         -0.507152  -0.0293636        13          1.892          1.891              0      1         18
14         -0.480015    -2.27634        14          2.834          1.891              0      1         17
15         -0.456162     -4.1595        15          3.782          1.891              0      1         17
17          -3.17745     2.72737        17          0.945          0.942              0      1         16
18           -2.9114    0.132288        18          1.892          0.942              0      1         18
19          -2.68669    -2.04132        19          2.834          0.942              0      1         18
20          -2.49496    -3.87966        20          3.782          0.942              0      1         14
22          -5.47426     2.71253        22          0.945              0              0      1         12
23          -5.07066    0.253798        23          1.892              0              0      1         17
24          -4.69921    -1.84101        24          2.834              0              0      1         16
25          -4.37397    -3.63118        25          3.782              0              0      1         10

Exterior Orientation Parameters: [-8.21446 , -17.4921 , 90.6079 , 0.938012 , 2.49282 , 2.98834]



For Photo-ID:  65_15_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
2            4.35061     2.25472         2          0.945          3.778              0      1         12
3             4.2493  -0.0430277         3          1.892          3.778              0      1         14
4             4.1253    -2.34897         4          2.834          3.778              0      1         14
6            2.10265     4.45796         6              0          2.832              0      1         12
7            2.00446     2.28995         7          0.945          2.832              0      1         17
8            1.90346   0.0671578         8          1.892          2.832              0      1         18
9            1.78643    -2.17477         9          2.834          2.832              0      1         18
10           1.66556    -4.40817        10          3.782          2.832              0      1         18
11        -0.0625376     4.39657        11              0          1.891              0      1         10
12         -0.187268     2.30999        12          0.945          1.891              0      1         17
13          -0.30747    0.172341        13          1.892          1.891              0      1         18
14         -0.424661    -1.99479        14          2.834          1.891              0      1         17
15         -0.542121    -4.16961        15          3.782          1.891              0      1         17
16          -2.06403     4.31529        16              0          0.942              0      1         10
17          -2.21819     2.33377        17          0.945          0.942              0      1         16
18          -2.36177     0.28283        18          1.892          0.942              0      1         18
19          -2.48774    -1.80752        19          2.834          0.942              0      1         18
21           -3.8819      4.2294        21              0              0              0      0          6
22          -4.08627     2.34672        22          0.945              0              0      1         12
23          -4.24776    0.372961        23          1.892              0              0      1         17
24          -4.37397    -1.63668        24          2.834              0              0      1         16

Exterior Orientation Parameters: [0 , 0 , 90 , 2.13 , 2.6 , 3.5]



For Photo-ID:  65_16_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
1            3.62288     4.41245         1              0          3.778              0      1          7
2            3.46848      2.2147         2          0.945          3.778              0      1         12
3             3.2971    0.118229         3          1.892          3.778              0      1         14
4            3.12259    -1.85012         4          2.834          3.778              0      1         14
5            2.95748    -3.69056         5          3.782          3.778              0      1         13
6            1.58944     4.69746         6              0          2.832              0      1         12
7            1.48286      2.3673         7          0.945          2.832              0      1         17
8            1.38185    0.137211         8          1.892          2.832              0      1         18
9            1.27459     -1.9587         9          2.834          2.832              0      1         18
10           1.17157    -3.91936        10          3.782          2.832              0      1         18
12         -0.748064     2.52848        12          0.945          1.891              0      1         17
13         -0.785524    0.162337        13          1.892          1.891              0      1         18
14         -0.825037    -2.06763        14          2.834          1.891              0      1         17
15         -0.857479    -4.16752        15          3.782          1.891              0      1         17
17          -3.25038     2.72493        17          0.945          0.942              0      1         16
18          -3.23269    0.221434        18          1.892          0.942              0      1         18
19          -3.20169    -2.16152        19          2.834          0.942              0      1         18
20          -3.15488    -4.39815        20          3.782          0.942              0      1         14
22          -5.98218       2.891        22          0.945              0              0      1         12
23          -5.94979    0.256892        23          1.892              0              0      1         17
24           -5.8439    -2.27213        24          2.834              0              0      1         16
25          -5.68192    -4.61575        25          3.782              0              0      1         10

